community,n_keywords,keywords_sample,n_elements,countries,years_range,lists
0,376,"Agriculture, Agro-ecosystems, Cassava, Festivals, Sea fishing, Shipbuilding, Movement education, Patronage of the arts, Rapid economic transformation, Ritual purification",783,"Benin, Nigeria, Togo; Bolivia (Plurinational State of); Côte d'Ivoire; Dominican Republic; Ecuador, Peru; Georgia; Guinea; India; Italy; Japan",2008–2024,RL; GSP; USL
1,43,"Architecture, Bark, Fibres, Knowledge and practices concerning nature and the universe, Sacred sites, Mining, Food preparation, Tribes, Alcoholic beverages, Calendars",400,"Benin, Nigeria, Togo; Bolivia (Plurinational State of); Ecuador, Peru; Lithuania; Morocco; Philippines; Russian Federation; Uzbekistan; Belize, Guatemala, Honduras, Nicaragua; Estonia",2008–2024,RL; GSP; USL
2,2,"Safety measures, Snow",6,"Japan; Austria, Switzerland; France, Italy, Switzerland; Finland; Tajikistan; France",2009–2024,RL
3,187,"Intolerance, Oral traditions and expressions, Slavery, Story telling, Emotions, Hinduism, Insufficient financial resources, Ethics, Poetry, Conflict resolution",636,"Benin, Nigeria, Togo; Bolivia (Plurinational State of); China; Côte d'Ivoire; Dominican Republic; Ecuador, Peru; Georgia; Guinea; India; Italy",2008–2024,RL; GSP; USL
4,2,"Nongovernmental organizations, Regional cooperation",9,"Brazil; Belgium; China; Spain; Bulgaria; Greece; Belgium, Croatia, Cyprus, France, Italy; Türkiye",2011–2023,GSP; USL
5,135,"Apprenticeship, Fire, Know-how transfer, Interfaith practices, Traditional craftsmanship, Calligraphy, Decorative arts, Instrument making, Wood, Carpentry",650,"Benin, Nigeria, Togo; Bolivia (Plurinational State of); China; Côte d'Ivoire; Dominican Republic; Ecuador, Peru; Guinea; India; Italy; Japan",2008–2024,RL; GSP; USL
6,33,"Makeup, Masks, Fraternity, Shinto, Costumes, Hats, Catholicism, Choreography, Bladed weapons, Drama",367,Bolivia (Plurinational State of); China; Dominican Republic; India; Italy; Japan; Lithuania; Philippines; Republic of Korea; Russian Federation,2008–2024,RL; GSP; USL
7,2,"Marine, coastal and island areas",91,Italy; Philippines; Colombia; Cuba; Tonga; Brazil; Costa Rica; Dominican Republic; Bangladesh; Indonesia,2008–2024,RL; USL; GSP
8,2,"Grasslands, savannahs",56,"Côte d'Ivoire; Mongolia; Slovakia; China; Malawi; China, Mongolia; Uganda; Italy; Kenya; Azerbaijan",2008–2024,RL; USL; GSP
9,9,"Aged practitioners, Diminishing youth interest, Reduced repertoire, Halted transmission, Insufficient remuneration, Loss of significance, Reduced practice, Arduous training, Freezing",108,Bolivia (Plurinational State of); Philippines; Brazil; Egypt; Yemen; Bulgaria; Slovakia; Dominican Republic; China; Nicaragua,2008–2024,RL; GSP; USL
10,2,"Clays, Kiln",25,China; Armenia; Romania; Botswana; Georgia; Türkiye; Portugal; Algeria; Tunisia; Ukraine,2009–2024,RL; USL; GSP
11,2,"Archives, Ethnology",5,"Hungary; Brazil; Bulgaria; Austria, France, Germany, Norway, Switzerland; Slovakia",2011–2024,GSP
12,90,"Colonial history, Oral history, Percussion instruments, Performing arts, Satire, Temples, Church and State, Idiophones, Religious groups, Religious music",526,"Benin, Nigeria, Togo; Bolivia (Plurinational State of); China; Côte d'Ivoire; Dominican Republic; Ecuador, Peru; Georgia; Guinea; India; Japan",2008–2024,RL; GSP; USL
